"","name","SA","est","Year","ExtraTerr","EVIMean"
"4","137932013Snow 95% est","WHEC",74.2993982028939,"2013",0,1572.02446423329
"5","137942013Snow 95% est","WHEC",3261.69901947517,"2013",1,1647.33843860569
"10","322512013Snow 95% est","WHEC",656.760050295151,"2013",0,1463.12042668054
"11","322512013SnowFree 95% est","WHEC",530.41029203115,"2013",0,1429.38134569554
"15","322522013SnowFree 95% est","WHEC",76626.7791629313,"2013",1,1674.49892717607
"19","322542013Snow 95% est","WHEC",2580.17850071969,"2013",0,1418.56880005295
"34","322592013SnowFree 95% est","WHEC",417.572594174627,"2013",0,1688.43901654116
"41","322612013Snow 95% est","WHEC",217.727324405786,"2013",0,1710.62331853206
"42","322612013SnowFree 95% est","WHEC",255.177705433298,"2013",0,1681.41656133528
"47","322632013Snow 95% est","WHEC",199.05404971258,"2013",0,1711.37928445518
"52","322642013SnowFree 95% est","WHEC",296.53427802682,"2013",0,1600.65938793996
"61","322672013SnowFree 95% est","WHEC",5256.16258772339,"2013",1,1722.13139227446
"73","336762013Snow 95% est","WHEC",1251.75267186498,"2013",0,1366.54341115818
"75","336772013Snow 95% est","WHEC",604.801694007041,"2013",0,1611.6348798376
"76","336772013SnowFree 95% est","WHEC",463.455780012332,"2013",0,1606.22788559086
"77","336782013Snow 95% est","WHEC",10136.937922237,"2013",1,1638.92168791351
"80","336792013Snow 95% est","WHEC",2067.12649271406,"2013",1,1152.15547136323
"81","336792013SnowFree 95% est","WHEC",2106.59123972699,"2013",0,1127.75949603836
"84","336802013SnowFree 95% est","WHEC",1915.58210488869,"2013",0,1777.2941204975
"86","336812013SnowFree 95% est","WHEC",412.979631413231,"2013",0,1651.55793018587
"94","W002D2013Snow 95% est","RICC",11644.176153382,"2013",1,1561.60284129298
"95","W002D2013SnowFree 95% est","RICC",5132.42592873826,"2013",1,1567.49382161312
"99","W003D2013Snow 95% est","RICC",328.268473676875,"2013",0,1342.53215055871
"100","W003D2013SnowFree 95% est","RICC",296.852766453476,"2013",0,1343.07697976027
"105","W003F2013SnowFree 95% est","RICC",848.017594317795,"2013",0,1471.43623780739
"108","W004D2013Snow 95% est","RICC",695.941227110891,"2013",0,1282.89075990133
"109","W004D2013SnowFree 95% est","RICC",969.296519164135,"2013",0,1250.8872420325
"111","W004F2013SnowFree 95% est","RICC",670.266674278755,"2013",0,1388.89427010046
"115","W005D2013SnowFree 95% est","RICC",586.242491340471,"2013",0,1261.42017145739
"119","W006D2013Snow 95% est","RICC",1591.38928448697,"2013",0,1614.74652452881
"120","W006D2013SnowFree 95% est","RICC",874.592208370146,"2013",0,1582.80067363764
"123","W007D2013SnowFree 95% est","RICC",117.228348659445,"2013",0,1337.71405266838
"125","W008D2013SnowFree 95% est","RICC",572.94416667829,"2013",0,1590.72070830953
"127","W011F2013Snow 95% est","RICC",3461.99427300149,"2013",0,1332.69421701563
"128","W011F2013SnowFree 95% est","RICC",2061.76521814837,"2013",0,1368.53741386561
"131","W012D2013Snow 95% est","RICC",456.634971043945,"2013",0,2054.39186453472
"132","W012D2013SnowFree 95% est","RICC",490.661191180579,"2013",0,2002.83671260181
"135","W012F2013Snow 95% est","RICC",752.890195218138,"2013",0,1296.43909654068
"136","W012F2013SnowFree 95% est","RICC",823.696492659483,"2013",0,1247.23224530168
"141","W013D2013Snow 95% est","RICC",814.633757089968,"2013",0,1294.53003472222
"142","W013D2013SnowFree 95% est","RICC",1043.24673078489,"2013",0,1268.70056563752
"144","W013F2013Snow 95% est","RICC",1341.19715357039,"2013",0,1424.3441678425
"145","W013F2013SnowFree 95% est","RICC",836.779090067812,"2013",0,1463.28458313926
"147","W015D2013Snow 95% est","RICC",361.441986389124,"2013",0,1340.42370389729
"148","W015D2013SnowFree 95% est","RICC",306.079374870633,"2013",0,1336.18507331091
"152","W015F2013Snow 95% est","RICC",3316.48961272181,"2013",0,1274.75901411186
"156","W016F2013Snow 95% est","RICC",3045.88950123481,"2013",0,1293.81212228937
"160","W017F2013Snow 95% est","RICC",2478.06613643564,"2013",0,1299.64025986619
"163","W018D2013Snow 95% est","RICC",465.528832519994,"2013",0,1877.53271751301
"164","W018D2013SnowFree 95% est","RICC",764.300577550842,"2013",0,2008.32429063474
"168","W019D2013SnowFree 95% est","RICC",235.850898334349,"2013",0,2269.87475845411
"170","W020D2013Snow 95% est","RICC",232.390157952079,"2013",0,1941.26782777449
"171","W020D2013SnowFree 95% est","RICC",419.998710112023,"2013",0,2027.25559487532
"174","W021D2013Snow 95% est","RICC",1094.64859191027,"2013",0,1839.160989695
"175","W022D2013Snow 95% est","RICC",4822.23097503005,"2013",1,1972.17324154658
"181","W023D2013Snow 95% est","RICC",309.30077229899,"2013",0,1336.62377791584
"187","W024D2013Snow 95% est","RICC",355.118542155891,"2013",0,1517.36214320665
"191","W025D2013Snow 95% est","RICC",876.711479722067,"2013",0,1530.31638297872
"193","W026D2013Snow 95% est","RICC",980.276648793214,"2013",0,1601.62604190501
"195","W027D2013Snow 95% est","RICC",1458.56430497675,"2013",0,1600.35811538838
"199","W028D2013Snow 95% est","RICC",387.049372095933,"2013",0,1518.21072115855
"201","W030D2013Snow 95% est","RICC",290.681645196768,"2013",0,2007.21046908978
"205","W031D2013Snow 95% est","RICC",220.634604568711,"2013",0,2026.49370485036
"207","W032D2013Snow 95% est","RICC",341.853063264797,"2013",0,2061.88084912919
"213","1400032013Snow 95% est","SK",1862.55955523742,"2013",0,1077.03104023734
"215","1400042013Snow 95% est","SK",402.721554954575,"2013",0,1342.55431710521
"220","1400052013Snow 95% est","SK",3053.11157467191,"2013",0,881.436593229447
"225","1400062013Snow 95% est","SK",405.838698983648,"2013",0,1083.81316335948
"228","1400072013Snow 95% est","SK",1903.00642996041,"2013",0,923.622312101134
"232","1400082013Snow 95% est","SK",2832.4597850979,"2013",0,943.821088911825
"236","1400092013Snow 95% est","SK",477.834383556517,"2013",0,1310.57859471926
"242","1400102013Snow 95% est","SK",2202.11631730474,"2013",0,914.856728013275
"246","1400112013Snow 95% est","SK",475.988258266678,"2013",0,901.291168241353
"247","1400122013Snow 95% est","SK",313.536079168827,"2013",0,1101.40792427417
"249","1400152013Snow 95% est","SK",2421.82443351066,"2013",0,849.278797309048
"254","1400162013Snow 95% est","SK",1841.78306297713,"2013",0,931.99018982593
"256","1400172013Snow 95% est","SK",1765.5646685862,"2013",0,713.677084961192
"259","1400182013Snow 95% est","SK",2884.31778777805,"2013",0,944.301412439769
"263","1400192013Snow 95% est","SK",1892.51344965761,"2013",0,1073.1464084298
"266","1400202013Snow 95% est","SK",4202.28122333806,"2013",0,959.972281525761
"274","1400222013Snow 95% est","SK",2381.59556264432,"2013",0,332.392113477419
"276","1400232013Snow 95% est","SK",3347.45821293028,"2013",0,201.523516629222
"279","1400242013Snow 95% est","SK",1447.54037370026,"2013",0,438.715924531232
"280","1400252013Snow 95% est","SK",2359.43616329299,"2013",0,985.15523697443
"281","1400262013Snow 95% est","SK",799.846426848325,"2013",0,722.003996074033
"283","1400272013Snow 95% est","SK",713.598165083821,"2013",0,720.340458792946
"309","BW0082013Snow 95% est","BC",1572.45958691767,"2013",0,1639.07795025067
"310","BW0082013SnowFree 95% est","BC",687.092980354921,"2013",0,1633.75925628593
"313","BW0092013Snow 95% est","BC",1544.74396609317,"2013",0,1637.49053267753
"314","BW0092013SnowFree 95% est","BC",805.696487637577,"2013",0,1637.88926530088
"317","BW0102013Snow 95% est","BC",4720.55778229475,"2013",0,1292.54572615434
"318","BW0102013SnowFree 95% est","BC",107781.696335575,"2013",1,1633.1731861606
"321","BW0122013Snow 95% est","BC",2758.20594824426,"2013",0,1673.46523765442
"322","BW0122013SnowFree 95% est","BC",941.307868468529,"2013",0,1609.04135014363
"324","BW0132013SnowFree 95% est","BC",555.956522752525,"2013",0,1512.03403429311
"325","BW0142013Snow 95% est","BC",1558.78989707666,"2013",0,1637.46610986187
"326","BW0142013SnowFree 95% est","BC",753.207775940031,"2013",0,1634.32726104418
"329","BW0152013SnowFree 95% est","BC",10580.446808896,"2013",0,1649.79230522088
"330","BW0162013SnowFree 95% est","BC",561.803814976509,"2013",0,1688.87623475659
"331","BW0172013Snow 95% est","BC",1215.69418866122,"2013",0,1584.70973716421
"332","BW0172013SnowFree 95% est","BC",1040.74874402866,"2013",0,1560.64163394064
"333","BW0182013SnowFree 95% est","BC",1110.91269718313,"2013",0,1560.67891060104
"334","BW0192013Snow 95% est","BC",2026.63665613041,"2013",0,1463.35446408521
"335","BW0192013SnowFree 95% est","BC",388.723101041186,"2013",0,1498.55328396652
"337","BW0212013Snow 95% est","BC",983.226939304568,"2013",0,1553.88773612136
"338","BW0212013SnowFree 95% est","BC",449.589537839547,"2013",0,1582.78172629552
"340","BW0242013Snow 95% est","BC",1727.13710807832,"2013",0,1499.87390389905
"346","BW0252013Snow 95% est","BC",1684.29398340275,"2013",0,1499.35505956235
"348","BW0272013Snow 95% est","BC",1715.75810587654,"2013",0,1700.98844504193
"351","BW0282013Snow 95% est","BC",1905.75552368939,"2013",0,1698.19374659967
"353","BW0292013Snow 95% est","BC",1510.35587927091,"2013",0,1615.49447620893
"355","BW0302013Snow 95% est","BC",841.22144416505,"2013",0,1538.60677976973
"358","BW0312013Snow 95% est","BC",877.037258874851,"2013",0,1538.833466966
"6","150092014SnowFree 95% est","WHEC",157.563011127921,"2014",0,1875.64236235909
"20","322542014SnowFree 95% est","WHEC",78.0152122890055,"2014",0,1617.76392279776
"48","322632014SnowFree 95% est","WHEC",115.966496484339,"2014",0,1876.59913483513
"78","336782014SnowFree 95% est","WHEC",1542.43192493979,"2014",0,1804.21106866553
"82","336792014SnowFree 95% est","WHEC",1717.09192762803,"2014",0,1231.02047005307
"87","W001C2014Snow 95% est","RICC",1136.01569988389,"2014",0,1580.39676774409
"89","W001R2014Snow 95% est","RICC",1051.90582998099,"2014",0,1577.69323510826
"91","W002C2014Snow 95% est","RICC",1778.00131057024,"2014",0,1828.97155379283
"96","W002R2014Snow 95% est","RICC",4044.16955670111,"2014",0,1363.567224037
"101","W003D2014Snow 95% est","RICC",569.276192902296,"2014",0,1398.17542597377
"102","W003D2014SnowFree 95% est","RICC",500.061696298171,"2014",0,1392.58134706556
"112","W004R2014Snow 95% est","RICC",6453.76371441406,"2014",1,1760.68968960775
"116","W005R2014Snow 95% est","RICC",1687.57125079462,"2014",0,1809.90937469356
"129","W011F2014SnowFree 95% est","RICC",1860.79298283252,"2014",0,1370.56038163001
"133","W012D2014SnowFree 95% est","RICC",485.90956007024,"2014",0,2234.7687775634
"137","W012F2014Snow 95% est","RICC",2728.2053352302,"2014",0,1342.83003834964
"138","W012F2014SnowFree 95% est","RICC",1061.9986802611,"2014",0,1343.3776064976
"149","W015D2014Snow 95% est","RICC",591.084899582771,"2014",0,1398.04858764476
"150","W015D2014SnowFree 95% est","RICC",436.777844427095,"2014",0,1393.93173576399
"153","W015F2014Snow 95% est","RICC",6075.45425397416,"2014",0,1350.32649095303
"154","W015F2014SnowFree 95% est","RICC",3131.38796800993,"2014",0,1394.3860693941
"157","W016F2014Snow 95% est","RICC",8050.88908399299,"2014",0,1371.43106428781
"158","W016F2014SnowFree 95% est","RICC",3287.35953071616,"2014",0,1355.460820473
"161","W017F2014SnowFree 95% est","RICC",10137.2718110517,"2014",1,1442.82740329688
"165","W018F2014Snow 95% est","RICC",1117.85396962446,"2014",0,1602.11629305449
"172","W020F2014Snow 95% est","RICC",816.630092824509,"2014",0,1482.16539498783
"176","W022D2014Snow 95% est","RICC",7383.37056026337,"2014",1,2156.19114804793
"177","W022D2014SnowFree 95% est","RICC",8666.87869765256,"2014",1,2006.69182154871
"179","W022F2014Snow 95% est","RICC",761.549331652768,"2014",0,1475.18613030602
"182","W023D2014Snow 95% est","RICC",602.820703074981,"2014",0,1395.7012108848
"183","W023D2014SnowFree 95% est","RICC",381.750907424182,"2014",0,1395.97390163934
"185","W023F2014Snow 95% est","RICC",1625.5708166131,"2014",0,1582.41395707062
"188","W024D2014SnowFree 95% est","RICC",383.365530337127,"2014",0,1818.15639624309
"189","W024F2014Snow 95% est","RICC",4611.2619417441,"2014",0,1356.63076596855
"192","W025D2014SnowFree 95% est","RICC",374.894305847396,"2014",0,1787.0562030014
"194","W026D2014SnowFree 95% est","RICC",509.48546999793,"2014",0,1776.37211871393
"196","W027D2014Snow 95% est","RICC",1091.69866349695,"2014",0,1787.01179554391
"197","W027D2014SnowFree 95% est","RICC",1289.32604973056,"2014",0,1747.41892069543
"200","W028D2014SnowFree 95% est","RICC",248.008881027033,"2014",0,1778.83690973128
"202","W030D2014Snow 95% est","RICC",4723.95987042424,"2014",1,2272.94812480521
"203","W030D2014SnowFree 95% est","RICC",535.547423908143,"2014",0,2227.68378173551
"206","W031D2014SnowFree 95% est","RICC",244.416797136292,"2014",0,2250.14116286296
"208","W032D2014Snow 95% est","RICC",529.721980463563,"2014",0,2283.45559307872
"209","W032D2014SnowFree 95% est","RICC",323.550520182302,"2014",0,2370.24469371067
"211","W033D2014Snow 95% est","RICC",2139.46693774691,"2014",0,1426.91517668819
"214","1400032014SnowFree 95% est","SK",527110.923249324,"2014",1,1329.71726628556
"216","1400042014Snow 95% est","SK",984.218180466194,"2014",0,1605.9467498201
"217","1400042014SnowFree 95% est","SK",314.930375824029,"2014",0,1474.30138554455
"221","1400052014Snow 95% est","SK",534.394369917993,"2014",0,1273.81846520775
"222","1400052014SnowFree 95% est","SK",2141.79313503683,"2014",0,1245.63331226296
"226","1400062014Snow 95% est","SK",2375.01545881515,"2014",0,1363.9109235276
"227","1400062014SnowFree 95% est","SK",1061.46789485638,"2014",0,1270.28895195148
"229","1400072014Snow 95% est","SK",6280.0728874895,"2014",0,1204.53949383241
"230","1400072014SnowFree 95% est","SK",5558.39423502627,"2014",0,1396.6420438767
"233","1400082014Snow 95% est","SK",2407.70011201483,"2014",0,1041.21020453535
"234","1400082014SnowFree 95% est","SK",8052.1305271962,"2014",0,943.843738604041
"237","1400092014Snow 95% est","SK",21654.789738663,"2014",1,1293.72441135863
"238","1400092014SnowFree 95% est","SK",380.727807586938,"2014",0,1512.48811277926
"243","1400102014Snow 95% est","SK",2079.07307807548,"2014",0,1013.08020278932
"244","1400102014SnowFree 95% est","SK",2752.68613135477,"2014",0,1009.47180627047
"248","1400142014Snow 95% est","SK",2431.68882752567,"2014",0,1201.51839574381
"250","1400152014Snow 95% est","SK",15894.2218110511,"2014",0,1341.06151362334
"251","1400152014SnowFree 95% est","SK",2113.38702387575,"2014",0,1212.94486401953
"255","1400162014SnowFree 95% est","SK",1040.52861759699,"2014",0,1014.62853676672
"257","1400172014Snow 95% est","SK",1516.07088817111,"2014",0,764.489002811311
"258","1400172014SnowFree 95% est","SK",1481.35153891779,"2014",0,855.072721786361
"260","1400182014Snow 95% est","SK",31449.4878154377,"2014",1,811.66354076748
"261","1400182014SnowFree 95% est","SK",38527.836391417,"2014",1,792.237442199278
"264","1400192014Snow 95% est","SK",2052.97011160072,"2014",0,998.338910026858
"265","1400192014SnowFree 95% est","SK",1932.95529369345,"2014",0,985.620772318442
"267","1400202014Snow 95% est","SK",26234.7787304101,"2014",1,966.16954043212
"268","1400202014SnowFree 95% est","SK",2464.57686925849,"2014",0,949.662927141486
"271","1400212014Snow 95% est","SK",2826.40174153123,"2014",0,947.179739599873
"275","1400222014SnowFree 95% est","SK",1425.03652145274,"2014",0,650.785509352411
"277","1400232014Snow 95% est","SK",42664.8568021754,"2014",1,394.309048947677
"278","1400232014SnowFree 95% est","SK",4563.84030940819,"2014",0,376.096403058477
"282","1400262014SnowFree 95% est","SK",3408.15712024196,"2014",0,759.607152744135
"284","1400272014Snow 95% est","SK",3652.85903307801,"2014",0,752.300783162017
"285","1400272014SnowFree 95% est","SK",3463.42041940534,"2014",0,762.482910274613
"286","1400282014Snow 95% est","SK",480.12686477498,"2014",0,1340.95408403727
"288","1400292014Snow 95% est","SK",1649.03323571132,"2014",0,1262.69497770021
"289","1400302014Snow 95% est","SK",1753.03552740779,"2014",0,600.493540973213
"292","1400312014Snow 95% est","SK",2552.92388337904,"2014",0,1009.88598494777
"294","1400322014Snow 95% est","SK",1463.90268956226,"2014",0,609.563905209557
"295","1400352014Snow 95% est","SK",6600.47398133424,"2014",0,895.327803400564
"296","1400362014Snow 95% est","SK",1241.89794298399,"2014",0,985.814696008952
"299","1400372014Snow 95% est","SK",1177.24211751182,"2014",0,1015.92125116713
"302","1400382014Snow 95% est","SK",4916.42131210771,"2014",0,785.233965968586
"305","1400392014Snow 95% est","SK",5939.58908626383,"2014",0,711.546493706653
"311","BW0082014SnowFree 95% est","BC",763.121753485666,"2014",0,1913.66043899456
"315","BW0092014SnowFree 95% est","BC",945.081991569402,"2014",0,1913.11863998458
"319","BW0102014SnowFree 95% est","BC",1566.81125264425,"2014",0,1138.03522251685
"323","BW0122014SnowFree 95% est","BC",1045.25097276673,"2014",0,1695.38950928467
"327","BW0142014Snow 95% est","BC",4383.87633577386,"2014",0,1768.23462965951
"328","BW0142014SnowFree 95% est","BC",1405.22531390859,"2014",0,1917.22850671464
"336","BW0192014SnowFree 95% est","BC",741.883188278729,"2014",0,1244.40204701743
"339","BW0212014SnowFree 95% est","BC",984.375843842082,"2014",0,1670.84510283562
"341","BW0242014Snow 95% est","BC",2792.95115574048,"2014",0,1723.23115220484
"342","BW0242014SnowFree 95% est","BC",846.321578082016,"2014",0,1608.73740937338
"347","BW0252014SnowFree 95% est","BC",1146.62325254477,"2014",0,1557.12090692436
"349","BW0272014Snow 95% est","BC",3580.823450397,"2014",0,1797.15933107126
"350","BW0272014SnowFree 95% est","BC",47779.1525710954,"2014",1,1839.65301634186
"352","BW0282014SnowFree 95% est","BC",304946.046552522,"2014",1,1304.10507652725
"354","BW0292014SnowFree 95% est","BC",3098.70390160329,"2014",0,1717.94203109344
"356","BW0302014Snow 95% est","BC",2109.91794406047,"2014",0,1708.76136253513
"357","BW0302014SnowFree 95% est","BC",1183.56296216228,"2014",0,1676.14035455955
"359","BW0312014SnowFree 95% est","BC",2513.48713944263,"2014",0,1679.01584574878
"360","BW0332014Snow 95% est","BC",2603.41248883276,"2014",0,1331.85150723345
"363","BW0352014Snow 95% est","BC",1969.50833015892,"2014",0,1448.65556728401
"366","BW0362014Snow 95% est","BC",2226.89895549739,"2014",0,1371.05367990281
"369","BW0382014Snow 95% est","BC",1205.65956221821,"2014",0,1639.82383552843
"375","BW0392014Snow 95% est","BC",1446.81998747331,"2014",0,1639.96529674496
"379","BW0402014Snow 95% est","BC",1189.94054825812,"2014",0,1634.96513534366
"384","BW0412014Snow 95% est","BC",4989.76276267578,"2014",0,1312.57585521465
"393","BW044nex2014Snow 95% est","BC",1228.64840021822,"2014",NA,1355.25622493856
"407","BW0502014Snow 95% est","BC",3031.92903177398,"2014",0,1327.77627589289
"409","BW0512014Snow 95% est","BC",1985.41518728118,"2014",0,1886.80552319938
"88","W001C2015SnowFree 95% est","RICC",950.022398106724,"2015",0,1369.1665106639
"90","W001R2015SnowFree 95% est","RICC",1014.94250931528,"2015",0,1370.4294166946
"92","W002C2015SnowFree 95% est","RICC",624.114621020944,"2015",0,1442.88447038593
"97","W002R2015SnowFree 95% est","RICC",1988.44559393022,"2015",0,1213.42215306817
"103","W003D2015SnowFree 95% est","RICC",481.961998418683,"2015",0,1238.04520771999
"106","W003R2015SnowFree 95% est","RICC",465.058369635018,"2015",0,1995.94746915479
"113","W004R2015SnowFree 95% est","RICC",2632.27307921182,"2015",1,1496.81431719511
"117","W005R2015SnowFree 95% est","RICC",1099.28790894049,"2015",0,1548.97594524334
"139","W012F2015SnowFree 95% est","RICC",162.310358942649,"2015",0,1187.38103568929
"151","W015D2015SnowFree 95% est","RICC",330.908384249049,"2015",0,1235.29996725606
"155","W015F2015SnowFree 95% est","RICC",2023.76376962622,"2015",0,1195.16322300667
"159","W016F2015SnowFree 95% est","RICC",3970.98714026213,"2015",0,1262.5945835779
"166","W018F2015SnowFree 95% est","RICC",1144.25351174017,"2015",0,1366.90310789157
"173","W020F2015SnowFree 95% est","RICC",858.810050186666,"2015",0,1143.99453695781
"178","W022D2015SnowFree 95% est","RICC",680.233186479884,"2015",0,1436.63422005247
"180","W022F2015SnowFree 95% est","RICC",945.606289147861,"2015",0,1121.18429455527
"184","W023D2015SnowFree 95% est","RICC",487.571057660831,"2015",0,1235.77304964539
"186","W023F2015SnowFree 95% est","RICC",1290.92175124945,"2015",0,1373.37007372654
"190","W024F2015SnowFree 95% est","RICC",1764.11716773756,"2015",0,1191.64623481781
"198","W027D2015SnowFree 95% est","RICC",587.57133938471,"2015",0,1520.49485097534
"204","W030D2015SnowFree 95% est","RICC",254.21180300036,"2015",0,2032.89672311628
"210","W032D2015SnowFree 95% est","RICC",313.984725106837,"2015",0,2073.35588318785
"212","W033D2015SnowFree 95% est","RICC",1098.26939882202,"2015",0,1348.14592260745
