"","low","est","high","ID","type","metric"
"t[velocity] (hours)250",0.974243427392368,1.1417595779635,1.33807926973715,"322532012SnowFree","OUF anisotropic","t[velocity] (hours)250"
"speed (kilometers/day)356",29.717187911288,31.1365791075986,32.5550931858861,"322532012SnowFree","OUF anisotropic","speed (kilometers/day)356"
"area (square kilometers)390",84.43091024075,170.51763558431,286.351063672942,"322532012Snow","OUF anisotropic","area (square kilometers)390"
"t[position] (days)320",0.364801643719023,1.26432074317113,4.3818523549307,"322532012Snow","OUF anisotropic","t[position] (days)320"
"t[velocity] (hours)251",0.316216873977435,1.09560313841557,3.79595883612364,"322532012Snow","OUF anisotropic","t[velocity] (hours)251"
"speed (kilometers/day)357",14.9646102602642,19.5547479488591,24.1357591639031,"322532012Snow","OUF anisotropic","speed (kilometers/day)357"
"area (square kilometers)391",911.798854173393,1959.18800466578,3400.33232577396,"322522011Snow","OUF anisotropic","area (square kilometers)391"
"t[position] (days)321",1.25885729702586,3.81583334311135,11.5665088781713,"322522011Snow","OUF anisotropic","t[position] (days)321"
"t[velocity] (hours)252",0.776023530506677,1.16312529239758,1.74332400066741,"322522011Snow","OUF anisotropic","t[velocity] (hours)252"
"speed (kilometers/day)358",32.6141381268298,35.8746869062915,39.1313913250991,"322522011Snow","OUF anisotropic","speed (kilometers/day)358"
"area (square kilometers)392",639.842043096848,845.013016718679,1078.27889839543,"322522012SnowFree","OUF anisotropic","area (square kilometers)392"
"t[position] (days)322",2.1086775370074,2.90030097510279,3.9891095715469,"322522012SnowFree","OUF anisotropic","t[position] (days)322"
"t[velocity] (hours)253",0.887624254909987,1.04307170710025,1.22574228918899,"322522012SnowFree","OUF anisotropic","t[velocity] (hours)253"
"speed (kilometers/day)359",26.1263736663174,27.4415793479856,28.7559318552784,"322522012SnowFree","OUF anisotropic","speed (kilometers/day)359"
"area (square kilometers)393",1187.78510311151,1905.96661479021,2791.22650852814,"322522012Snow","OUF anisotropic","area (square kilometers)393"
"t[position] (days)323",4.39997655943778,7.71850123384976,13.5399042454337,"322522012Snow","OUF anisotropic","t[position] (days)323"
"t[velocity] (minutes)95",47.6349465203844,56.2448206142861,66.4109036960811,"322522012Snow","OUF anisotropic","t[velocity] (minutes)95"
"speed (kilometers/day)360",25.0522689328723,26.3682981400558,27.6834395392186,"322522012Snow","OUF anisotropic","speed (kilometers/day)360"
"area (square kilometers)394",3992.45906762475,76626.7791629313,253202.833339147,"322522013SnowFree","OUF anisotropic","area (square kilometers)394"
"t[position] (months)14",0,3.98660615779709,10.85363917989,"322522013SnowFree","OUF anisotropic","t[position] (months)14"
"t[velocity] (hours)254",1.11970826233118,1.42596570569043,1.81598927346646,"322522013SnowFree","OUF anisotropic","t[velocity] (hours)254"
